stop_id,name,latitude,longitude,type,capacity,assoc_node_id
0,Nhà Thờ Bình Hòa,10.8096755,106.6951544,bus_stop,2,935
1,Phòng Cảnh sát Phòng cháy Chữa cháy Quận Bình Thạnh,10.8033408,106.6916712,bus_stop,2,532
2,Bệnh viện Gia Định,10.8031098,106.6934358,bus_stop,2,140
3,Nhà thờ Hàng Xanh,10.8031651,106.7080886,bus_stop,2,703
4,Chợ Bà Chiểu,10.8031521,106.6993614,bus_stop,2,540
5,Tòa án Nhân dân Quận Bình Thạnh,10.803862,106.7011965,bus_stop,2,142
6,Chùa Bồ Đề,10.8034539,106.7040522,bus_stop,2,1092
7,Chợ Bà Chiểu,10.8029565,106.6994287,bus_stop,2,540
8,Nhà thờ Hàng Xanh,10.8030956,106.7067035,bus_stop,2,1090
9,Đại học Hồng Bàng,10.7997324,106.7062401,bus_stop,2,753
10,Nhà văn hóa Lao động,10.8159153,106.6979602,bus_stop,2,856
11,Cầu Bông,10.7960004,106.6962557,bus_stop,2,692
12,Bệnh viện Quận Bình Thạnh,10.7986201,106.6964219,bus_stop,2,697
13,Lăng Ông Bà Chiểu,10.8009837,106.6965741,bus_stop,2,1344
14,Bệnh viện Gia Định,10.8035837,106.6950028,bus_stop,2,1309
15,Bệnh viện Ung bướu,10.8054414,106.695747,bus_stop,2,866
16,Trường Tiểu học Nguyễn Đình Chiểu,10.8035722,106.6983624,bus_stop,2,88
17,Tòa án Nhân dân Quận Bình Thạnh,10.8036395,106.7011521,bus_stop,2,142
18,Chùa Bồ Đề,10.8033062,106.7039798,bus_stop,2,983
19,Lăng Lê Văn Duyệt,10.8030815,106.706623,bus_stop,2,1090
20,Uỷ ban Nhân dân Quận Bình Thạnh,10.8026975,106.6951454,bus_stop,2,61
21,Hồ bơi Đại Đồng,10.8070488,106.6950287,bus_stop,2,865
22,Ngã năm Bình Hòa,10.811933,106.6960758,bus_stop,2,141
23,Chợ Phan Văn Trị,10.8124685,106.6952967,bus_stop,2,141
24,Nhà sách Miền Đông,10.8155578,106.7074115,bus_stop,2,134
25,Trạm điện Nguyễn Cửu Vân,10.796765,106.7031914,bus_stop,2,820
26,Trạm điện Nguyễn Cửu Vân,10.797252,106.7045256,bus_stop,2,198
27,Tân Cảng,10.7965163,106.71979,bus_stop,2,1340
28,Hồ bơi Hải Quân,10.7891216,106.7107926,bus_stop,2,609
29,Hồ bơi Hải Quân,10.7894937,106.7106287,bus_stop,2,490
