poi_id,name,latitude,longitude,category,demand_weight,opening_hours
0,Lotteria,10.8032942,106.69257,amenity,4.0,08:00-20:00
1,KFC,10.8115508,106.6958817,amenity,4.0,08:00-20:00
2,Lotteria,10.8000744,106.7110951,amenity,4.0,08:00-20:00
3,Lotteria,10.7994166,106.696288,amenity,4.0,08:00-20:00
4,KFC,10.8000541,106.6962085,amenity,4.0,08:00-20:00
5,Cà Phê Thuỷ Trúc,10.8104285,106.7084493,amenity,4.0,08:00-20:00
6,Nhà Hàng Bờ Sông,10.789502,106.711158,amenity,4.0,08:00-20:00
7,Bác Sĩ Phạm Đình Hòa,10.7901955,106.710302,amenity,4.0,08:00-20:00
8,Trung Nguyên Coffee,10.7921354,106.7128519,amenity,4.0,08:00-20:00
9,Trung Tâm Dạy Nghề Bình Thạnh,10.8118404,106.6959099,education,9.0,07:00-17:00
10,Quán Ăn Gia Đình,10.8029924,106.6995844,amenity,4.0,08:00-20:00
11,Cửa Hàng Tiện Lợi Shop&Go!,10.806477,106.6949172,shop,7.0,09:30-22:00
12,Focomart,10.8036214,106.7012353,shop,7.0,09:30-22:00
13,Nhà Hàng Đồ Chay,10.8062565,106.6949559,amenity,4.0,08:00-20:00
14,Siêu Thị Bình Hòa,10.816301,106.6981233,shop,7.0,09:30-22:00
15,Trường Tiểu Học Phù Đổng,10.7930619,106.7081317,education,9.0,07:00-17:00
16,Shop&Go!,10.794457,106.70916,shop,7.0,09:30-22:00
17,Tân Cảng,10.8005534,106.7246028,amenity,4.0,08:00-20:00
18,Nhà Hàng Hoa Sứ,10.7975447,106.7141842,amenity,4.0,08:00-20:00
19,Nhà Hàng Trang Đỏ,10.797848,106.714665,amenity,4.0,08:00-20:00
20,Nhà Hàng Bông Súng,10.797692,106.715692,amenity,4.0,08:00-20:00
21,Nhà Hàng Kitchen,10.7979426,106.7158367,amenity,4.0,08:00-20:00
22,Trường Cao Đẳng An Ninh Mạng ISPACE,10.7954204,106.6954845,education,9.0,07:00-17:00
